Produto,CATEGORIAS,Qtde,Total Venda,Custo,Lucro,LUCRO/MENSAL,,,,,,,,PART %,PART ACC %,
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X138  ,COLCHOES DE CASAL,"4,00","R$ 2.907,66","R$ 1.640,00","R$ 1.267,66","R$ 253,53",,,,,,,,"0,56%","41,82%",A
GUARDA ROUPA RUDÁ 2 PTS 2 GVTS COR:CEDRO/BRANCO LINE-DUNA LINE/BOUCLE  ,GUARDA ROUPAS,"3,00","R$ 3.241,97","R$ 1.829,67","R$ 1.412,30","R$ 282,46",,,,,,,,"0,62%","42,45%",A
COMODA TEXAS MOPAR COR:FREIJO/GRAFITE  ,COMODAS,"4,00","R$ 2.782,00","R$ 1.548,80","R$ 1.233,20","R$ 246,64",,,,,,,,"0,54%","42,99%",A
BELICHE MILÃO TORNEADO COR:TABACO;LARGURA:80  ,BELICHES,"4,00","R$ 2.262,65","R$ 1.192,00","R$ 1.070,65","R$ 214,13",,,,,,,,"0,47%","43,46%",A
BALCÃO PARA PIA  JK 1º LINHA 3G OLMO  ,BALCOES PARA PIA,"6,00","R$ 2.429,00","R$ 1.416,00","R$ 1.013,00","R$ 202,60",,,,,,,,"0,45%","43,91%",A
GUARDA ROUPA 6 PTS 2 GVTS VERONA COR:ANGELIN/BRANCO LINE/ANGELIN/BOUCLE  ,GUARDA ROUPAS,"2,00","R$ 2.618,36","R$ 1.361,62","R$ 1.256,74","R$ 251,35",,,,,,,,"0,55%","44,46%",A
BALCÃO PARA PIA COPA COR:FREIJO/BAUNILHA  ,BALCOES PARA PIA,"7,00","R$ 2.117,21","R$ 1.259,37","R$ 857,84","R$ 171,57",,,,,,,,"0,38%","44,84%",A
SOFA MELANINO COR:MARROM ESCURO  ,SOFAS,"1,00","R$ 1.599,00","R$ 700,00","R$ 899,00","R$ 179,80",,,,,,,,"0,40%","45,24%",A
GUARDA ROUPA 6 PTS SONATA NEW SEM ESP COR:ANGELIN/DUNA LINE/BOUCLE  ,GUARDA ROUPAS,"2,00","R$ 2.898,00","R$ 1.564,66","R$ 1.333,34","R$ 266,67",,,,,,,,"0,59%","45,83%",A
"MESA SIMPATIA CANDIAN 0,90 X 0,90 CC C/VIDRO COR:CINAMOMO/OFF WHITE  ",MESA CADEIRAS SALA DE JANTAR,"2,00","R$ 2.288,87","R$ 1.150,48","R$ 1.138,39","R$ 227,68",,,,,,,,"0,50%","46,33%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X88  ,COLCHOES DE SOLTEIRO,"6,00","R$ 2.994,00","R$ 1.885,26","R$ 1.108,74","R$ 221,75",,,,,,,,"0,49%","46,82%",A
"PIA DE MARMORITE 1,60 COR:PRETA  ",PIAS,"8,00","R$ 2.354,43","R$ 1.504,00","R$ 850,43","R$ 170,09",,,,,,,,"0,38%","47,19%",A
MESA POP CABERNET 90X90 TALISMA COR:CARVALHO/TABACO  ,MESA CADEIRAS SALA DE JANTAR,"4,00","R$ 1.156,00","R$ 538,48","R$ 617,52","R$ 123,50",,,,,,,,"0,27%","47,47%",A
COZINHA COMPACTA JULLY COR:FREIJO/CHUMBO  ,COZINHAS COMPACTA,"4,00","R$ 3.905,80","R$ 2.524,00","R$ 1.381,80","R$ 276,36",,,,,,,,"0,61%","48,08%",A
"ARMÁRIO AÉREO 3PTS 1,20 JK COR:BRANCO  ",AÉREOS,"5,00","R$ 1.691,80","R$ 910,00","R$ 781,80","R$ 156,36",,,,,,,,"0,34%","48,42%",A
COMODA FRANCA SAPATEIRA 3 PTS 2 PTS COR:FREIJO/GRAFITE  ,COMODAS,"2,00","R$ 1.965,00","R$ 974,40","R$ 990,60","R$ 198,12",,,,,,,,"0,44%","48,86%",A
BALCÃO PARA PIA COPA COR:NOGAL/BAUNILHA  ,BALCOES PARA PIA,"7,00","R$ 2.054,00","R$ 1.259,37","R$ 794,63","R$ 158,93",,,,,,,,"0,35%","49,21%",A
"25791 - SOFÁ HANOVER 2LIG 2B 2,10M COR:VELUDO CASTOR  ",SOFAS,"1,00","R$ 2.585,65","R$ 1.338,89","R$ 1.246,76","R$ 249,35",,,,,,,,"0,55%","49,76%",A
COLCHÃO MOLA POCKET 1P VENNTI 188X138X25CM  ,COLCHOES DE CASAL,"3,00","R$ 2.613,47","R$ 1.462,05","R$ 1.151,42","R$ 230,28",,,,,,,,"0,51%","50,27%",A
MESA ZAMARCHI 120 C/ 6CAD (15) 150X84 COR:CANELA/SUEDE CACAU  ,MESA CADEIRAS SALA DE JANTAR,"3,00","R$ 3.337,76","R$ 2.016,00","R$ 1.321,76","R$ 264,35",,,,,,,,"0,58%","50,85%",A
COZINHA COMPACTA TOKYO COR:FREIJO/CHUMBO  ,COZINHAS COMPACTA,"3,00","R$ 2.997,00","R$ 1.762,47","R$ 1.234,53","R$ 246,91",,,,,,,,"0,54%","51,39%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE EXCEL CRISTALFLEX TAMANHO:22X198X156  ,COLCHOES QUEEN,"3,00","R$ 2.961,31","R$ 1.737,00","R$ 1.224,31","R$ 244,86",,,,,,,,"0,54%","51,93%",A
COMODA SAPATEIRA 1 PT 3 GAVTS 1 SP LILLE COR:BRANCO LINE/BRANCO LINE/BOUCLE  ,COMODAS,"6,00","R$ 2.673,00","R$ 1.699,80","R$ 973,20","R$ 194,64",,,,,,,,"0,43%","52,36%",A
CADEIRA POP TALISMA COR/MATERIAL:EGITO BEGE/TABACO  ,MESA CADEIRAS SALA DE JANTAR,"6,00","R$ 870,00","R$ 445,20","R$ 424,80","R$ 84,96",,,,,,,,"0,19%","52,55%",A
BELICHE MILÃO TORNEADO COR:MARROM ESCURO;LARGURA:80  ,BELICHES,"4,00","R$ 2.127,00","R$ 1.192,00","R$ 935,00","R$ 187,00",,,,,,,,"0,41%","52,96%",A
GUARDA ROUPA TOQUIO 4 PTS 2 GVTS SOLUTION COR:BRANCO BOUCLE  ,GUARDA ROUPAS,"4,00","R$ 2.436,03","R$ 1.430,08","R$ 1.005,95","R$ 201,19",,,,,,,,"0,44%","53,41%",A
AMERICA PONTE 1950MM 4 PTS COR:FREIJO/GRAFITE  ,GUARDA ROUPAS,"2,00","R$ 1.462,53","R$ 700,80","R$ 761,73","R$ 152,35",,,,,,,,"0,34%","53,74%",A
TORRE KIT 2 FORNOS 70 MDP POP COR:FREIJO/BAUNILHA  ,TORRE QUENTE,"5,00","R$ 2.566,69","R$ 1.593,30","R$ 973,39","R$ 194,68",,,,,,,,"0,43%","54,17%",A
COLCHÃO DREAM GAZIN TAMANHO:188X88  ,COLCHOES DE SOLTEIRO,"7,00","R$ 1.650,64","R$ 1.008,00","R$ 642,64","R$ 128,53",,,,,,,,"0,28%","54,46%",A
COZINHA COMPACTA YARA COR:AMENDOA/NUDE  ,COZINHAS COMPACTA,"4,00","R$ 2.166,79","R$ 1.245,72","R$ 921,07","R$ 184,21",,,,,,,,"0,41%","54,86%",A
AÉREO 3 PORTAS 120CM FLORENÇA COR:ANGELIN  ,AÉREOS,"4,00","R$ 1.552,52","R$ 827,04","R$ 725,48","R$ 145,10",,,,,,,,"0,32%","55,18%",A
AÉREO 80CM GELADEIRA POP COR:FREIJO/CHUMBO  ,AÉREOS,"6,00","R$ 856,57","R$ 451,20","R$ 405,37","R$ 81,07",,,,,,,,"0,18%","55,36%",A
"BOX DUBAI 24CM X 1,98M X 79CM CRISTALFLEX  ",BASE BOX DE QUEEN,"4,00","R$ 1.179,78","R$ 598,84","R$ 580,94","R$ 116,19",,,,,,,,"0,26%","55,62%",A
BASE BOX REVESTIDAS LATERAIS EVALDO COR:MARROM  ,BASE BOX DE CASAL,"3,00","R$ 1.218,53","R$ 600,00","R$ 618,53","R$ 123,71",,,,,,,,"0,27%","55,89%",A
APARADOR CAIRO COR:PRETO  ,APARADORES,"4,00","R$ 1.102,00","R$ 558,48","R$ 543,52","R$ 108,70",,,,,,,,"0,24%","56,13%",A
"BALCÃO C/ TAMPO 1,20 0,40 COR:BRANCO  ",BALCOES COM TAMPO,"5,00","R$ 1.743,00","R$ 1.010,00","R$ 733,00","R$ 146,60",,,,,,,,"0,32%","56,45%",A
BALCÃO PARA PIA 3G INT. CRU PÉS SIMPLES COR:OLMO  ,BALCOES PARA PIA,"5,00","R$ 1.572,59","R$ 905,00","R$ 667,59","R$ 133,52",,,,,,,,"0,29%","56,75%",A
CADEIRA ITÁLIA ASSENTO PEQUENO TABACO  ,MESA CADEIRAS SALA DE JANTAR,"4,00","R$ 900,00","R$ 452,00","R$ 448,00","R$ 89,60",,,,,,,,"0,20%","56,95%",A
BANCADA NT 1315 COR:FREIJO/PRETO TX  ,RACKS,"4,00","R$ 1.951,73","R$ 1.140,00","R$ 811,73","R$ 162,35",,,,,,,,"0,36%","57,30%",A
"BALCÃO PARA PIA 3G 1,00M INT. CRU CORR, METAL COR:BRANCO  ",BALCOES PARA PIA,"6,00","R$ 1.729,37","R$ 1.074,00","R$ 655,37","R$ 131,07",,,,,,,,"0,29%","57,59%",A
COLCHÃO NUVOLE TAMANHO:188X78  ,COLCHOES DE SOLTEIRO,"9,00","R$ 1.662,03","R$ 1.176,12","R$ 485,91","R$ 97,18",,,,,,,,"0,21%","57,81%",A
MESA REDONDA COM BANCOS PIZZA ESTOFADOS COR:FREIJO/PRETO FOSCO  ,MESA CADEIRAS SALA DE JANTAR,"3,00","R$ 2.179,79","R$ 1.262,88","R$ 916,91","R$ 183,38",,,,,,,,"0,40%","58,21%",A
CABECEIRA GABI 158 MUNDIAL FLEX COR:BEGE  ,CABECEIRAS,"1,00","R$ 383,78","R$ 157,00","R$ 226,78","R$ 45,36",,,,,,,,"0,10%","58,31%",A
"BALCÃO C/ TAMPO 1,60 0,50 COR:PRETO  ",BALCOES COM TAMPO,"4,00","R$ 1.948,00","R$ 1.148,00","R$ 800,00","R$ 160,00",,,,,,,,"0,35%","58,67%",A
TAMPO MDP DACHERI COR:PRETO  ,TAMPOS,"2,00","R$ 235,00","R$ 98,08","R$ 136,92","R$ 27,38",,,,,,,,"0,06%","58,73%",A
GUARDA ROUPA LYON PLUS 3PTS CORRER COR:ANGELIN/DUNA LINE/BOUCLE  ,GUARDA ROUPAS,"2,00","R$ 2.410,27","R$ 1.385,10","R$ 1.025,17","R$ 205,03",,,,,,,,"0,45%","59,18%",A
MESA POP CABERNET 120X90 TALISMA COR:CABERNET/TABACO  ,MESA CADEIRAS SALA DE JANTAR,"5,00","R$ 1.477,53","R$ 858,60","R$ 618,93","R$ 123,79",,,,,,,,"0,27%","59,45%",A
BASE BOX IDEALSONO MEDIDA:138;COR:PRETO  ,BASE BOX DE CASAL,"1,00","R$ 399,00","R$ 165,00","R$ 234,00","R$ 46,80",,,,,,,,"0,10%","59,55%",A
GUARDA ROUPA MALI NEW COR:CEDRO/BLANC/BOUCLE  ,GUARDA ROUPAS,"2,00","R$ 1.898,00","R$ 1.035,82","R$ 862,18","R$ 172,44",,,,,,,,"0,38%","59,93%",A
APARADOR CAIRO COR:BRANCO  ,APARADORES,"3,00","R$ 852,00","R$ 418,86","R$ 433,14","R$ 86,63",,,,,,,,"0,19%","60,13%",A
BALCÃO PARA COOKTOP FLÓRIDA COR:BRANCO  ,BALCÃO PARA COOKTOP,"3,00","R$ 928,00","R$ 464,34","R$ 463,66","R$ 92,73",,,,,,,,"0,20%","60,33%",A
MULTIUSO CAIRO PARA FORNO COR:BRANCO  ,BALCOES PARA FORNO,"5,00","R$ 1.595,66","R$ 961,10","R$ 634,56","R$ 126,91",,,,,,,,"0,28%","60,61%",A
TAMPO DE MARMORITE COR:PRETA  ,TAMPOS,"6,00","R$ 1.156,50","R$ 690,00","R$ 466,50","R$ 93,30",,,,,,,,"0,21%","60,82%",A
GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:FREIJO/GRAFITE  ,GUARDA ROUPAS,"3,00","R$ 1.725,12","R$ 969,60","R$ 755,52","R$ 151,10",,,,,,,,"0,33%","61,15%",A
BALCÃO PARA PIA  JK 1º LINHA 3 G COR BRANCO  ,BALCOES PARA PIA,"2,00","R$ 765,97","R$ 358,00","R$ 407,97","R$ 81,59",,,,,,,,"0,18%","61,33%",A
COMODA CAMARIM BELLA  BRANCO  ,PENTEADEIRAS,"3,00","R$ 2.027,00","R$ 1.184,43","R$ 842,57","R$ 168,51",,,,,,,,"0,37%","61,70%",A
PANELEIRO 45 MDP POP COR:FREIJO/CHUMBO  ,PANELEIRO,"3,00","R$ 1.161,92","R$ 605,55","R$ 556,37","R$ 111,27",,,,,,,,"0,25%","61,95%",A
AÉREO 3 PORTAS 120CM FLORENÇA COR:CANARY  ,AÉREOS,"3,00","R$ 1.185,73","R$ 620,28","R$ 565,45","R$ 113,09",,,,,,,,"0,25%","62,20%",A
PENTEADEIRA CONDESSA COR:BRANCO BRILHO  ,PENTEADEIRAS,"2,00","R$ 1.509,22","R$ 792,76","R$ 716,46","R$ 143,29",,,,,,,,"0,32%","62,51%",A
KIT 1 FORNOS 70 MDP VENEZA COR:BRANCO  ,TORRE QUENTE,"5,00","R$ 1.943,88","R$ 1.228,65","R$ 715,23","R$ 143,05",,,,,,,,"0,32%","62,83%",A
COLCHÃO MAJESTIC 188X138  ,COLCHOES DE CASAL,"2,00","R$ 1.998,00","R$ 1.122,34","R$ 875,66","R$ 175,13",,,,,,,,"0,39%","63,21%",A
SOFÁ POP ADEMIR TAMANHO:2 LUGARES;COR:CINZA  ,SOFAS,"3,00","R$ 1.047,00","R$ 540,00","R$ 507,00","R$ 101,40",,,,,,,,"0,22%","63,44%",A
COZINHA 4 PECAS/PPIA VOLLARE COR:PRETA  ,COZINHAS MODULADA,"1,00","R$ 1.599,00","R$ 821,14","R$ 777,86","R$ 155,57",,,,,,,,"0,34%","63,78%",A
GUARDA ROUPA MALI NEW COR:CEDRO/DUNA LINE/BOUCLE  ,GUARDA ROUPAS,"2,00","R$ 1.865,90","R$ 1.035,82","R$ 830,08","R$ 166,02",,,,,,,,"0,37%","64,15%",A
BALCÃO PARA PIA 1G JK COR:BRANCO  ,BALCOES PARA PIA,"7,00","R$ 1.694,72","R$ 1.148,00","R$ 546,72","R$ 109,34",,,,,,,,"0,24%","64,39%",A
SAPATEIRA RAVENNA MDP COR:TAUARI  ,SAPATEIRAS,"2,00","R$ 732,18","R$ 345,22","R$ 386,96","R$ 77,39",,,,,,,,"0,17%","64,56%",A
GUARDA ROUPA TOQUIO 4 PTS 2 GVTS SOLUTION COR:MACADAMIA/BLANC/BOUCLE  ,GUARDA ROUPAS,"3,00","R$ 1.847,00","R$ 1.072,56","R$ 774,44","R$ 154,89",,,,,,,,"0,34%","64,90%",A
COZINHA COMPACTA GEÓRGIA CHUMBO/CHUMBO  ,COZINHAS COMPACTA,"1,00","R$ 1.249,00","R$ 616,40","R$ 632,60","R$ 126,52",,,,,,,,"0,28%","65,18%",A
BALCÃO PARA PIA 3 PORTAS 2 GVTS VOLLARE COR:BRANCO  ,BALCOES PARA PIA,"2,00","R$ 974,00","R$ 483,14","R$ 490,86","R$ 98,17",,,,,,,,"0,22%","65,40%",A
TORRE KIT 2 FORNOS 70 MDP POP COR:FREIJO/CHUMBO  ,TORRE QUENTE,"4,00","R$ 2.037,35","R$ 1.274,64","R$ 762,71","R$ 152,54",,,,,,,,"0,34%","65,73%",A
CADEIRA ALTA TALISMA COR/MATERIAL:SUED CINZA  ,MESA CADEIRAS SALA DE JANTAR,"8,00","R$ 1.000,00","R$ 669,92","R$ 330,08","R$ 66,02",,,,,,,,"0,15%","65,88%",A
"PIA DE MARMORITE 1,20 COR:BRANCA  ",PIAS,"6,00","R$ 1.163,59","R$ 720,00","R$ 443,59","R$ 88,72",,,,,,,,"0,20%","66,07%",A
BALCÃO PARA COOKTOP 1º LINHA JK COR:BRANCO  ,BALCOES COM TAMPO,"5,00","R$ 1.446,55","R$ 885,00","R$ 561,55","R$ 112,31",,,,,,,,"0,25%","66,32%",A
GUARDA ROUPA MODULADO PARIS MOPAR COR:FREIJO/GRAFITE  ,GUARDA ROUPAS,"1,00","R$ 2.049,00","R$ 1.138,40","R$ 910,60","R$ 182,12",,,,,,,,"0,40%","66,72%",A
GUARDA ROUPA VIENA 4PTS 2GAV COR:FREIJO/FREIJO  ,GUARDA ROUPAS,"1,00","R$ 1.729,54","R$ 924,00","R$ 805,54","R$ 161,11",,,,,,,,"0,36%","67,08%",A
MULTI USO 2312A 2PTS VERSATIL COR:ANGELIN  ,ARMARIOS MULTIUSOS 2 PORTAS,"5,00","R$ 1.446,13","R$ 887,95","R$ 558,18","R$ 111,64",,,,,,,,"0,25%","67,33%",A
APARADOR CAIRO COR:FREIJO/BRANCO  ,APARADORES,"4,00","R$ 1.011,49","R$ 558,48","R$ 453,01","R$ 90,60",,,,,,,,"0,20%","67,52%",A
BALCÃO PARA COOKTOP FLÓRIDA COR:PRETO  ,BALCÃO PARA COOKTOP,"3,00","R$ 897,00","R$ 464,34","R$ 432,66","R$ 86,53",,,,,,,,"0,19%","67,72%",A
CABECEIRA PEROLA CINZA LARG.:138  ,CABECEIRAS,"3,00","R$ 868,00","R$ 450,00","R$ 418,00","R$ 83,60",,,,,,,,"0,18%","67,90%",A
CADEIRA RUBIN CANDIAN ESTOFADO COR:LINHO 2904  ,MESA CADEIRAS SALA DE JANTAR,"8,00","R$ 1.593,65","R$ 1.156,48","R$ 437,17","R$ 87,43",,,,,,,,"0,19%","68,09%",A
KIT 1 FORNOS 70 MDP VENEZA COR:FREIJO/CHUMBO  ,TORRE QUENTE,"4,00","R$ 1.622,00","R$ 982,92","R$ 639,08","R$ 127,82",,,,,,,,"0,28%","68,38%",A
MULTIUSO DACAR COR:BRANCO  ,BALCOES COM TAMPO,"3,00","R$ 588,00","R$ 292,80","R$ 295,20","R$ 59,04",,,,,,,,"0,13%","68,51%",A
TORRE QUENTE 2 FORNOS JK COR:BRANCO  ,TORRE QUENTE,"3,00","R$ 1.461,75","R$ 831,00","R$ 630,75","R$ 126,15",,,,,,,,"0,28%","68,78%",A
"COLCHAO STRATUS AG 65 BORD. 0,88X20 D65  ",COLCHOES DE SOLTEIRO,"3,00","R$ 1.352,59","R$ 757,83","R$ 594,76","R$ 118,95",,,,,,,,"0,26%","69,05%",A
GUARDA ROUPA PEQUIM 6 PTS 2 GVTS SOLUTION COR:BRANCO LINE/ BRANCO LINE/ BOUCLE  ,GUARDA ROUPAS,"2,00","R$ 1.698,00","R$ 955,50","R$ 742,50","R$ 148,50",,,,,,,,"0,33%","69,37%",A
COMODA FRANCA SAPATEIRA 3 PTS 2 PTS COR:FREIJO/OFF WHITE  ,COMODAS,"1,00","R$ 999,00","R$ 487,20","R$ 511,80","R$ 102,36",,,,,,,,"0,23%","69,60%",A
GUARDA ROUPA MONZA 4 PORTAS E 2 GAVETAS COR:BRANCO  ,GUARDA ROUPAS,"3,00","R$ 2.183,00","R$ 1.357,80","R$ 825,20","R$ 165,04",,,,,,,,"0,36%","69,96%",A
COLCHÃO NUVOLE TAMANHO:188X88  ,COLCHOES DE SOLTEIRO,"7,00","R$ 1.412,17","R$ 965,30","R$ 446,87","R$ 89,37",,,,,,,,"0,20%","70,16%",A
BALCÃO DUNA COR:BRANCO  ,BALCOES COM TAMPO,"5,00","R$ 1.077,00","R$ 641,65","R$ 435,35","R$ 87,07",,,,,,,,"0,19%","70,35%",A
MULTI USO 2312A 2PTS VERSATIL COR:BRANCO  ,ARMARIOS MULTIUSOS 2 PORTAS,"5,00","R$ 1.423,00","R$ 887,95","R$ 535,05","R$ 107,01",,,,,,,,"0,24%","70,59%",A
MULTIUSO SLIM COR:FREIJO/BAUNILHA  ,BALCOES COM TAMPO,"5,00","R$ 955,00","R$ 560,25","R$ 394,75","R$ 78,95",,,,,,,,"0,17%","70,76%",A
GUARDA ROUPA NEW YORK 21706 MDF 6 PTS CASTANHO NUDE  ,GUARDA ROUPAS,"1,00","R$ 1.149,00","R$ 576,44","R$ 572,56","R$ 114,51",,,,,,,,"0,25%","71,02%",A
GUARDA ROUPA LUGANO 6PTS 4 GAV COR:FREIJO/FREIJO  ,GUARDA ROUPAS,"1,00","R$ 2.150,00","R$ 1.239,20","R$ 910,80","R$ 182,16",,,,,,,,"0,40%","71,42%",A
"BALCÃO 1,19 P/ PIA COR:FREIJO/OFF WHITE  ",BALCOES PARA PIA,"5,00","R$ 1.494,85","R$ 950,00","R$ 544,85","R$ 108,97",,,,,,,,"0,24%","71,66%",A
COZINHA COMPACTA SOPHIA COR:ANGELIN/GRAFITE  ,COZINHAS COMPACTA,"3,00","R$ 1.703,18","R$ 1.022,43","R$ 680,75","R$ 136,15",,,,,,,,"0,30%","71,96%",A
"BALCÃO C/ TAMPO 1,60 0,50 COR:OLMO  ",BALCOES COM TAMPO,"3,00","R$ 1.471,69","R$ 861,00","R$ 610,69","R$ 122,14",,,,,,,,"0,27%","72,23%",A
SOFA MELANINO COR:palha  ,SOFAS,"1,00","R$ 1.330,00","R$ 700,00","R$ 630,00","R$ 126,00",,,,,,,,"0,28%","72,51%",A
CRIADO MUDO AROMA 1G COR:BRANCO  ,CRIADOS MUDOS,"4,00","R$ 796,00","R$ 445,20","R$ 350,80","R$ 70,16",,,,,,,,"0,15%","72,66%",A
BALCÃO PARA PIA 1G JK COR:LYON  ,BALCOES PARA PIA,"6,00","R$ 1.460,00","R$ 984,00","R$ 476,00","R$ 95,20",,,,,,,,"0,21%","72,87%",A
GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:FREIJO/OFFWHITE  ,GUARDA ROUPAS,"4,00","R$ 1.984,96","R$ 1.292,80","R$ 692,16","R$ 138,43",,,,,,,,"0,31%","73,18%",A
GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:BRANCO  ,GUARDA ROUPAS,"3,00","R$ 1.617,33","R$ 969,60","R$ 647,73","R$ 129,55",,,,,,,,"0,29%","73,46%",A
"KIT VALPARAISO 1,20 MDP COR:FREIJO/CHUMBO  ",KIT DE COZINHA,"2,00","R$ 1.362,96","R$ 760,76","R$ 602,20","R$ 120,44",,,,,,,,"0,27%","73,73%",A
GUARDA ROUPA FLORIDA 6 PORTAS 2 GAVETAS COR:FREIJO/GRAFITE  ,GUARDA ROUPAS,"1,00","R$ 1.477,10","R$ 801,60","R$ 675,50","R$ 135,10",,,,,,,,"0,30%","74,02%",A
BELICHE MILÃO TORNEADO COR:MEL;LARGURA:80  ,BELICHES,"3,00","R$ 1.500,00","R$ 894,00","R$ 606,00","R$ 121,20",,,,,,,,"0,27%","74,29%",A
CABECEIRA PEROLA CINZA LARG.:88  ,CABECEIRAS,"2,00","R$ 414,25","R$ 200,00","R$ 214,25","R$ 42,85",,,,,,,,"0,09%","74,39%",A
BALCÃO PARA PIA 1G JK COR:PRETO  ,BALCOES PARA PIA,"6,00","R$ 1.440,83","R$ 984,00","R$ 456,83","R$ 91,37",,,,,,,,"0,20%","74,59%",A
COLCHÃO NUVOLE TAMANHO:188X138  ,COLCHOES DE CASAL,"3,00","R$ 1.060,61","R$ 597,81","R$ 462,80","R$ 92,56",,,,,,,,"0,20%","74,79%",A
TAMPO DE MARMORITE COR:BRANCA  ,TAMPOS,"5,00","R$ 938,23","R$ 575,00","R$ 363,23","R$ 72,65",,,,,,,,"0,16%","74,95%",A
BALCÃO PARA PIA 1G JK COR:OLMO  ,BALCOES PARA PIA,"5,00","R$ 1.277,53","R$ 820,00","R$ 457,53","R$ 91,51",,,,,,,,"0,20%","75,15%",A
APARADOR VIEIRO C/  PÉS SALVADOS  ,APARADORES,"2,00","R$ 817,79","R$ 425,74","R$ 392,05","R$ 78,41",,,,,,,,"0,17%","75,33%",A
"PIA INOX 1,20X53 INFINITY COM FURO  ",PIAS,"3,00","R$ 1.007,25","R$ 567,00","R$ 440,25","R$ 88,05",,,,,,,,"0,19%","75,52%",A
COMODA MS913 MOVELIPE 4G COR:BRANCO - 913440  ,COMODAS,"4,00","R$ 1.163,00","R$ 704,00","R$ 459,00","R$ 91,80",,,,,,,,"0,20%","75,72%",A
POLTRONA CELENA MUNDIAL FLEX COR:MARROM  ,POLTRONAS,"2,00","R$ 752,59","R$ 392,00","R$ 360,59","R$ 72,12",,,,,,,,"0,16%","75,88%",A
CADEIRA DIRETOR BEST-C220  ,CADEIRAS DE ESCRITORIO,"2,00","R$ 678,00","R$ 349,00","R$ 329,00","R$ 65,80",,,,,,,,"0,15%","76,03%",A
MESA COM 2 BANCOS COR:FREIJO/PRETO FOSCO  ,MESA CADEIRAS SALA DE JANTAR,"1,00","R$ 699,00","R$ 344,64","R$ 354,36","R$ 70,87",,,,,,,,"0,16%","76,18%",A
TAMPO MDP DACHERI COR:CHUMBO  ,TAMPOS,"1,00","R$ 110,00","R$ 49,04","R$ 60,96","R$ 12,19",,,,,,,,"0,03%","76,21%",A
CABECEIRA PEROLA CINZA LARG.:158  ,CABECEIRAS,"1,00","R$ 362,97","R$ 170,00","R$ 192,97","R$ 38,59",,,,,,,,"0,09%","76,30%",A
GUARDA ROUPA VIENA 4PTS 2GAV COR:FREIJO/OFF WHITE  ,GUARDA ROUPAS,"1,00","R$ 1.622,96","R$ 924,00","R$ 698,96","R$ 139,79",,,,,,,,"0,31%","76,61%",A
GUARDA ROUPA TURIM MDF MOPAR COR:BRANCO  ,GUARDA ROUPAS,"1,00","R$ 1.399,00","R$ 778,40","R$ 620,60","R$ 124,12",,,,,,,,"0,27%","76,88%",A
CABECEIRA PEROLA CINZA LARG.:197  ,CABECEIRAS,"1,00","R$ 399,00","R$ 190,00","R$ 209,00","R$ 41,80",,,,,,,,"0,09%","76,97%",A
GUARDA ROUPA 6 PTS 2 GVTS VERONA COR:ANGELIN/DUNA LINE/ANGELIN/BOUCLE  ,GUARDA ROUPAS,"1,00","R$ 1.249,00","R$ 680,81","R$ 568,19","R$ 113,64",,,,,,,,"0,25%","77,22%",A
BASE BOX IDEALSONO MEDIDA:138;COR:MARROM ESCURO  ,BASE BOX DE CASAL,"1,00","R$ 349,00","R$ 165,00","R$ 184,00","R$ 36,80",,,,,,,,"0,08%","77,30%",A
CADEIRA MADRI TALISMA COR/MATERIAL:TECIDO CINZA/TABACO  ,MESA CADEIRAS SALA DE JANTAR,"4,00","R$ 756,78","R$ 445,20","R$ 311,58","R$ 62,32",,,,,,,,"0,14%","77,44%",A
ESCRIVANINHA PENTEADEIRA MONALISA NEW COR:BRANCO BRILHO  ,PENTEADEIRA,"2,00","R$ 1.020,00","R$ 565,60","R$ 454,40","R$ 90,88",,,,,,,,"0,20%","77,64%",A
CABECEIRA PEROLA AZUL LARG.:88  ,CABECEIRAS,"1,00","R$ 215,25","R$ 100,00","R$ 115,25","R$ 23,05",,,,,,,,"0,05%","77,69%",A
APARADOR BUFFET QUARTZO COR:CINAMOMO/OFF WHITE  ,APARADORES,"2,00","R$ 1.263,82","R$ 727,84","R$ 535,98","R$ 107,20",,,,,,,,"0,24%","77,93%",A
MESA POP CABERNET 90X90 TALISMA COR:CARVALHO/CASTELLI  ,MESA CADEIRAS SALA DE JANTAR,"1,00","R$ 286,09","R$ 134,62","R$ 151,47","R$ 30,29",,,,,,,,"0,07%","78,00%",A
TORRE QUENTE 2 FORNOS JK COR:PRETO  ,TORRE QUENTE,"2,00","R$ 998,00","R$ 554,00","R$ 444,00","R$ 88,80",,,,,,,,"0,20%","78,19%",A
COMODA TEXAS MOPAR COR:BRANCO  ,COMODAS,"2,00","R$ 1.328,00","R$ 774,40","R$ 553,60","R$ 110,72",,,,,,,,"0,24%","78,44%",A
HOME MARAGOGI COR:FENDI/CARVALHO  ,HOMES,"1,00","R$ 1.099,00","R$ 592,93","R$ 506,07","R$ 101,21",,,,,,,,"0,22%","78,66%",A
