Produto,CATEGORIAS,Qtde,Total Venda,Custo,Lucro,LUCRO/MENSAL,,,,,,,,PART %,PART ACC %,
BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X188X88,,"7,00","R$ 1.978,25","R$ 1.113,00","R$ 865,25","R$ 173,05",,,,,,,,"0,27%","26,15%",A
BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X198X79,,"10,00","R$ 2.884,15","R$ 1.450,00","R$ 1.434,15","R$ 286,83",,,,,,,,"0,44%","26,59%",A
BASE BOX POLIESTER PRETO QUADRICULADO CRISTALFLEX TAMANHO:24X198X79,,"2,00","R$ 569,00","R$ 299,50","R$ 269,50","R$ 53,90",,,,,,,,"0,08%","26,68%",A
BASE BOX POLIESTER PRETO QUADRICULADO CRISTALFLEX TAMANHO:24X203X96,,"2,00","R$ 699,00","R$ 361,36","R$ 337,64","R$ 67,53",,,,,,,,"0,10%","26,78%",A
"BASE BOX QUEEN 0,79 MUNDIAL FLEX",,"2,00","R$ 575,20","R$ 330,00","R$ 245,20","R$ 49,04",,,,,,,,"0,08%","26,86%",A
BASE BOX REVESTIDAS LATERAIS EVALDO COR:MARROM,,"3,00","R$ 1.218,53","R$ 600,00","R$ 618,53","R$ 123,71",,,,,,,,"0,19%","27,05%",A
Beliche Arauna Robusto,SALVADOS,"3,00","R$ 1.385,93","R$ 681,84","R$ 704,09","R$ 140,82",,,,,,,,"0,22%","27,27%",A
BELICHE MILÃO TORNEADO COR:BRANCO;LARGURA:90,,"1,00","R$ 540,00","R$ 330,00","R$ 210,00","R$ 42,00",,,,,,,,"0,07%","27,33%",A
BELICHE MILÃO TORNEADO COR:MARROM ESCURO;LARGURA:80,,"4,00","R$ 2.127,00","R$ 1.192,00","R$ 935,00","R$ 187,00",,,,,,,,"0,29%","27,62%",A
BELICHE MILÃO TORNEADO COR:MEL;LARGURA:80,,"3,00","R$ 1.500,00","R$ 894,00","R$ 606,00","R$ 121,20",,,,,,,,"0,19%","27,81%",A
BELICHE MILÃO TORNEADO COR:TABACO;LARGURA:80,,"4,00","R$ 2.262,65","R$ 1.192,00","R$ 1.070,65","R$ 214,13",,,,,,,,"0,33%","28,14%",A
Beliche Rubin Especial C/Grade Salvados,SALVADOS,"6,00","R$ 2.918,96","R$ 913,14","R$ 2.005,82","R$ 401,16",,,,,,,,"0,62%","28,76%",A
Berco Henn Bala De Menta Multifuncional + Trocador Peroba,SALVADOS,"1,00","R$ 449,00","R$ 186,35","R$ 262,65","R$ 52,53",,,,,,,,"0,08%","28,84%",A
Berço Mini Cama Permobili Liza /Biscoito Mdf Salvados,SALVADOS,"1,00","R$ 661,22","R$ 217,34","R$ 443,88","R$ 88,78",,,,,,,,"0,14%","28,98%",A
Berço Mini Cama Peroba Elo Salvados,SALVADOS,"2,00","R$ 1.056,80","R$ 437,26","R$ 619,54","R$ 123,91",,,,,,,,"0,19%","29,17%",A
"BOX DUBAI 24CM X 1,88M X 88CM CRISTALFLEX",,"4,00","R$ 1.032,02","R$ 619,48","R$ 412,54","R$ 82,51",,,,,,,,"0,13%","29,30%",A
"BOX DUBAI 24CM X 1,98M X 79CM CRISTALFLEX",,"4,00","R$ 1.179,78","R$ 598,84","R$ 580,94","R$ 116,19",,,,,,,,"0,18%","29,48%",A
Cab Jsw Milena 88cm Estofado,SALVADOS,"1,00","R$ 269,00","R$ 77,85","R$ 191,15","R$ 38,23",,,,,,,,"0,06%","29,54%",A
CABECEIRA DUDA MARROM LARG.:88,,"1,00","R$ 199,00","R$ 100,00","R$ 99,00","R$ 19,80",,,,,,,,"0,03%","29,57%",A
CABECEIRA GABI 158 MUNDIAL FLEX COR:BEGE,,"1,00","R$ 383,78","R$ 157,00","R$ 226,78","R$ 45,36",,,,,,,,"0,07%","29,64%",A
CABECEIRA JADE CINZA LARG.:138,,"2,00","R$ 575,82","R$ 300,00","R$ 275,82","R$ 55,16",,,,,,,,"0,09%","29,72%",A
CABECEIRA JADE MARROM TAMANHO:188X138,,"1,00","R$ 299,00","R$ 150,00","R$ 149,00","R$ 29,80",,,,,,,,"0,05%","29,77%",A
CABECEIRA JADE PRETA LARG.:138,,"2,00","R$ 584,00","R$ 300,00","R$ 284,00","R$ 56,80",,,,,,,,"0,09%","29,86%",A
Cabeceira Jsw Amanda 158cm,,"1,00","R$ 203,25","R$ 59,51","R$ 143,74","R$ 28,75",,,,,,,,"0,04%","29,90%",A
